20|
10|
291,353,316,310,276,262,330,253,276,337,263,348,377,313,310,292,217,280,357,324|
497,619,270,411,547,610,255,510,512,341|
483,372,822,668,772,625,801,562,514,568|
116,65,63,93,133,86,56,76,144,134|
81,101,113,71,125,52,58,59,95,141|
127,101,32,90,91,111,124,104,69,122|
66,65,68,100,129,81,66,65,37,90|
49,88,40,42,129,136,95,67,75,40|
57,52,142,91,143,114,51,147,67,91|
150,135,126,67,115,135,149,30,50,35|
121,100,93,131,143,102,147,88,140,72|
129,77,125,30,138,148,114,39,54,62|
131,53,46,106,121,131,122,119,41,52|
124,132,32,97,143,145,80,140,113,69|
92,122,147,97,123,135,94,117,54,118|
149,34,52,75,141,53,55,112,53,97|
134,57,78,136,35,102,41,85,91,34|
124,32,127,120,99,130,135,73,96,38|
71,126,42,124,50,33,148,107,146,81|
53,40,139,133,56,144,84,67,78,145|
103,82,57,79,83,36,58,67,110,34|
107,30,130,150,125,30,32,32,138,59|
114,40,69,102,143,95,96,107,43,54|
